Part,Quantity,Price,Link,Notes
Matrix 1S FC (5in1),1,$57.45,https://www.tinywhoop.com/collections/electronics/products/matrixfc,
CADDXFPV Ant Lite Camera,1,$15.90,https://caddxfpv.com/products/caddxfpv-ant-lite-4-3-fpvcycle-edition,
802 25KKV Motors,1,$46.85,https://www.tinywhoop.com/collections/802-motors/products/802-25kkv-calliope-edition-project-topspin-tiny-whoop-motors,
Gemfan 31mm props,4,$4.01,https://pt.aliexpress.com/item/1005009122072902.html?spm=a2g0o.productlist.main.2.51c14741851wPB,
BT2.0 300mAh 1S battery,1 pack of 4,$19.99,https://betafpv.com/collections/batt-1s/products/bt2-0-450mah-1s-30c-battery-4pcs,
m2x10 screws,4,$3.48,https://pt.aliexpress.com/item/1005007249068859.html?spm=a2g0o.productlist.main.8.6989I79zI79zVA,
nylon m2 nuts,8,$1.31,https://pt.aliexpress.com/item/1005005203028580.html?spm=a2g0o.productlist.main.2.6a7e5165o0YQSd,
Carbon Fiber Sheet,1,$21.80,https://pt.aliexpress.com/item/1005008721256378.html?spm=a2g0o.productlist.main.2.22c0FSlDFSlDsk,
Radiomaster pocket controller,1,$76.36,https://pt.aliexpress.com/item/1005009135876837.html?spm=a2g0o.productlist.main.3.52bb7fe1c8DHHV,
